product_id,name,brand,size,color,release_date,retail_price,price,stock_quantity,popular,description,image_url,type,created_at,updated_at,category_id
1,Adidas ultra boost 2.0 dna,63,38-47,54,2020-12-09,180,144,26,4,Adidas ultra boost 2.0 dna juju smith-schuster,https://stockx.imgix.net/images/adidas-Ultra-Boost,Sneakers,2020-12-23 00:00:00.0000000 +00:00,2020-12-23 00:00:00.0000000 +00:00,1
2,Adidas ultra boost dna,Adidas,38-47,36,2020-12-09,180,144,112,5,Adidas ultra boost dna jalen ramsey,https://stockx.imgix.net/images/adidas-Ultra-Boost,Sneakers,2020-12-23 00:00:00.0000000 +00:00,2020-12-23 00:00:00.0000000 +00:00,1
3,Nike dunk high,Nike,38-47,24,2020-12-09,120,96,63,3,Nike dunk high varsity maize,https://stockx.imgix.net/images/Nike-Dunk-High-Bla,Sneakers,2020-12-23 00:00:00.0000000 +00:00,2020-12-23 00:00:00.0000000 +00:00,1
4,Adidas ultra boost dna mid,Adidas,38-47,44,2020-12-09,220,176,26,1,Adidas ultra boost dna mid patrick mahomes,https://stockx.imgix.net/images/adidas-Ultra-Boost,Sneakers,2020-12-23 00:00:00.0000000 +00:00,2020-12-23 00:00:00.0000000 +00:00,1
5,Nike dunk high,Nike,27-30,17,2020-12-09,85,68,104,2,Nike dunk high black varsity maize (ps),https://stockx.imgix.net/images/Nike-Dunk-High-Bla,Sneakers,2020-12-23 00:00:00.0000000 +00:00,2020-12-23 00:00:00.0000000 +00:00,5
6,Adidas ultra boost dna,Adidas,38-47,50,2020-12-08,250,200,40,2,Adidas ultra boost dna terry fox marathon of hope,https://stockx.imgix.net/images/adidas-Ultra-Boost,Sneakers,2020-12-23 00:00:00.0000000 +00:00,2020-12-23 00:00:00.0000000 +00:00,1
7,Adidas ultra boost dna,Adidas,38-47,36,2020-12-08,180,144,96,2,Adidas ultra boost dna leopard,https://stockx.imgix.net/images/adidas-Ultra-Boost,Sneakers,2020-12-23 00:00:00.0000000 +00:00,2020-12-23 00:00:00.0000000 +00:00,1
8,Adidas ultra boost dna,Adidas,38-47,36,2020-12-08,180,144,13,4,Adidas ultra boost dna python,https://stockx.imgix.net/images/adidas-Ultra-Boost,Sneakers,2020-12-23 00:00:00.0000000 +00:00,2020-12-23 00:00:00.0000000 +00:00,1
9,Adidas ultra boost dna,Adidas,38-47,36,2020-12-08,180,144,142,5,Adidas ultra boost dna crocodile,https://stockx.imgix.net/images/adidas-Ultra-Boost,Sneakers,2020-12-23 00:00:00.0000000 +00:00,2020-12-23 00:00:00.0000000 +00:00,1
10,Jordan 1 retro high,Jordan,38-47,38,2020-12-08,190,152,107,4,Jordan 1 retro high j balvin,https://stockx.imgix.net/images/Air-Jordan-1-Retro,Sneakers,2020-12-23 00:00:00.0000000 +00:00,2020-12-23 00:00:00.0000000 +00:00,1
