created_at,updated_at,brand,type,category_id,retail_price,product_name,release_date,description,price,stock_quantity,size,popular,color,image_url
2020-12-23,2020-12-23,Adidas,Sneakers,1,180,Adidas ultra boost 2.0 dna,2020-12-09,Adidas ultra boost 2.0 dna juju smith-schuster,144,26,38-47,4,"Team dark green,gold metallic,cloud white","https://stockx.imgix.net/images/adidas-Ultra-Boost-2-DNA-JuJu-Smith-Schuster.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606895068"
2020-12-23,2020-12-23,Adidas,Sneakers,1,180,Adidas ultra boost dna,2020-12-09,Adidas ultra boost dna jalen ramsey,144,112,38-47,5,"Scarlet,team navy blue-white","https://stockx.imgix.net/images/adidas-Ultra-Boost-DNA-Jalen-Ramsey.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606895070"
2020-12-23,2020-12-23,Nike,Sneakers,1,120,Nike dunk high,2020-12-09,Nike dunk high varsity maize,96,63,38-47,3,"Black,varsity maize","https://stockx.imgix.net/images/Nike-Dunk-High-Black-Varsity-Maize.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606754514"
2020-12-23,2020-12-23,Adidas,Sneakers,1,220,Adidas ultra boost dna mid,2020-12-09,Adidas ultra boost dna mid patrick mahomes,176,26,38-47,1,"Maroon,white,black","https://stockx.imgix.net/images/adidas-Ultra-Boost-DNA-Mid-Patrick-Mahomes.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606895071"
2020-12-23,2020-12-23,Nike,Sneakers,5,85,Nike dunk high,2020-12-09,Nike dunk high black varsity maize (ps),68,104,27-30,2,"Black,varsity maize","https://stockx.imgix.net/images/Nike-Dunk-High-Black-Varsity-Maize-PS.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1607107255"
2020-12-23,2020-12-23,Adidas,Sneakers,1,250,Adidas ultra boost dna,2020-12-08,Adidas ultra boost dna terry fox marathon of hope,200,40,38-47,2,"Collegiate navy,cloud white,core black","https://stockx.imgix.net/images/adidas-Ultra-Boost-DNA-Terry-Fox-Marathon-Of-Hope.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606983915"
2020-12-23,2020-12-23,Adidas,Sneakers,1,180,Adidas ultra boost dna,2020-12-08,Adidas ultra boost dna leopard,144,96,38-47,2,"Core black,signal green,core black","https://stockx.imgix.net/images/adidas-Ultra-Boost-DNA-Leopard.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1607177091"
2020-12-23,2020-12-23,Adidas,Sneakers,1,180,Adidas ultra boost dna,2020-12-08,Adidas ultra boost dna python,144,13,38-47,4,"Supplier colour,core black,bliss","https://stockx.imgix.net/images/adidas-Ultra-Boost-DNA-Python.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1607177092"
2020-12-23,2020-12-23,Adidas,Sneakers,1,180,Adidas ultra boost dna,2020-12-08,Adidas ultra boost dna crocodile,144,142,38-47,5,"Core white,core black,core black","https://stockx.imgix.net/images/adidas-Ultra-Boost-DNA-Crocodile.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1607177089"
2020-12-23,2020-12-23,Jordan,Sneakers,1,190,Jordan 1 retro high,2020-12-08,Jordan 1 retro high j balvin,152,107,38-47,4,"Multi-color,black-pink foam-multi-color","https://stockx.imgix.net/images/Air-Jordan-1-Retro-High-J-Balvin.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1605816665"
2020-12-23,2020-12-23,Adidas,Sneakers,1,180,Adidas ultra boost dna,2020-12-08,Adidas ultra boost dna zebra,144,148,38-47,4,"Core black,cloud white,shock pink","https://stockx.imgix.net/images/adidas-Ultra-Boost-DNA-Zebra.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1607177093"
2020-12-23,2020-12-23,Nike,Sneakers,1,110,Nike blazer mid 77,2020-12-07,Nike blazer mid 77 vintage nordic christmas (2020),88,53,38-47,3,"Dark atomic teal,university red","https://stockx.imgix.net/images/Nike-Blazer-Mid-77-Vintage-Christmas-2020.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1605914485"
2020-12-23,2020-12-23,Asics,Sneakers,1,155,Asics gel-1090,2020-12-07,Asics gel-1090 iab-studio ai-2 lime,124,34,38-47,3,"Lime zest,black","https://stockx.imgix.net/images/Asics-Gel-1090-IAB-Studio-AI-2-Lime.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1607177052"
2020-12-23,2020-12-23,Adidas,Sneakers,1,220,Adidas ultra boost,2020-12-07,Adidas ultra boost vice golf,176,122,38-47,1,"White,grey,green","https://stockx-assets.imgix.net/media/New-Product-Placeholder-Default.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=0"
2020-12-23,2020-12-23,Asics,Sneakers,1,155,Asics gel-1090,2020-12-07,Asics gel-1090 iab-studio ai-2 black,124,70,38-47,4,"Black,lime zest","https://stockx.imgix.net/images/Asics-Gel-1090-IAB-Studio-AI-2-Black.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1607177051"
2020-12-23,2020-12-23,Nike,Sneakers,1,130,Nike air max 90,2020-12-07,Nike air max 90 nordic christmas (2020),104,18,38-47,4,"White,university red-dark atomic teal-lucky green","https://stockx.imgix.net/images/Nike-Air-Max-90-Christmas-Sweater-2020.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1605914482"
2020-12-23,2020-12-23,Nike,Sneakers,1,200,Nike ndstrkt air max 95,2020-12-07,Nike ndstrkt air max 95 neon,160,146,38-47,2,"Black,neon yellow-medium grey","https://stockx.imgix.net/images/Nike-NDSTRKT-Air-Max-95-Neon.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606849772"
2020-12-23,2020-12-23,Adidas,Sneakers,1,150,Adidas zx 2k boost,2020-12-06,Adidas zx 2k boost core black glow blue,120,49,38-47,3,"Core black,core black,glow blue","https://stockx.imgix.net/images/adidas-ZX-2K-Boost-Core-Black-Glow-Blue.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1607177096"
2020-12-23,2020-12-23,Adidas,Sneakers,1,150,Adidas nmd r1,2020-12-06,Adidas nmd r1 spectoo nasa core black,120,93,38-47,1,"Core black,core black,yellow tint","https://stockx.imgix.net/images/adidas-NMD-R1-Spectoo-NASA-Core-Black.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1607107264"
2020-12-23,2020-12-23,Adidas,Sneakers,2,180,Adidas ultra boost 20,2020-12-06,Adidas ultra boost 20 nasa cloud white (w),144,126,34-45,4,"Cloud white,silver metallic,fresh candy","https://stockx.imgix.net/images/adidas-Ultra-Boost-20-NASA-Cloud-White-W.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1607107286"
